starttime,stoptime,start station id,end station id
9/1/15 1:28,9/1/15 1:36,479,499
9/1/15 1:29,9/1/15 1:39,380,382
9/1/15 1:30,9/1/15 1:36,335,432
9/1/15 1:30,9/1/15 1:34,521,477
9/1/15 1:31,9/1/15 1:39,380,382
9/1/15 1:31,9/1/15 1:48,505,386
9/1/15 1:31,9/1/15 1:34,416,399
9/1/15 1:31,9/1/15 1:39,521,434
9/1/15 1:32,9/1/15 1:34,472,536
9/1/15 1:32,9/1/15 1:57,225,137
9/1/15 1:32,9/1/15 1:42,402,483
9/1/15 1:33,9/1/15 1:59,518,431
9/1/15 1:34,9/1/15 1:44,300,229
9/1/15 1:34,9/1/15 1:54,265,362
9/1/15 1:34,9/1/15 1:46,349,349
9/1/15 1:34,9/1/15 1:50,284,376
9/1/15 1:35,9/1/15 1:49,304,327
9/1/15 1:35,9/1/15 1:50,304,327
9/1/15 1:35,9/1/15 1:45,312,393
9/1/15 1:37,9/1/15 1:44,151,383
9/1/15 1:38,9/1/15 1:39,447,449
9/1/15 1:38,9/1/15 1:52,150,315
9/1/15 1:38,9/1/15 1:58,212,295
9/1/15 1:39,9/1/15 1:42,364,344
9/1/15 1:39,9/1/15 1:47,307,445
9/1/15 1:40,9/1/15 1:46,348,284
9/1/15 1:40,9/1/15 1:47,434,503
9/1/15 1:40,9/1/15 2:00,293,320
9/1/15 1:41,9/1/15 1:43,250,151
9/1/15 1:42,9/1/15 1:56,410,297
9/1/15 1:42,9/1/15 1:48,423,478
9/1/15 1:43,9/1/15 1:54,312,306
9/1/15 1:43,9/1/15 1:51,533,507
9/1/15 1:44,9/1/15 1:56,3109,3071
9/1/15 1:44,9/1/15 1:50,368,328
9/1/15 1:44,9/1/15 1:52,468,228
9/1/15 1:45,9/1/15 2:07,252,264
9/1/15 1:45,9/1/15 2:07,252,264
9/1/15 1:45,9/1/15 2:10,116,377
9/1/15 1:46,9/1/15 1:53,290,290
9/1/15 1:47,9/1/15 2:02,3087,3113
9/1/15 1:47,9/1/15 1:57,151,497
9/1/15 1:48,9/1/15 2:04,479,479
9/1/15 1:49,9/1/15 2:04,479,479
9/1/15 1:49,9/1/15 2:04,469,423
9/1/15 1:49,9/1/15 2:03,469,423
9/1/15 1:49,9/1/15 2:01,383,151
9/1/15 1:52,9/1/15 2:02,2003,380
9/1/15 1:52,9/1/15 1:56,168,482
9/1/15 1:52,9/1/15 2:16,449,300
9/1/15 1:53,9/1/15 2:13,517,306
9/1/15 1:53,9/1/15 1:56,168,482
9/1/15 1:53,9/1/15 1:56,480,495
9/1/15 1:54,9/1/15 2:12,433,326
9/1/15 1:54,9/1/15 2:01,3047,3047
